Hash Id,gen,ind_id,fitness,params_list
20195b88,0,0,0.253,"[1, 0, 4, 3, 7]"
c63e0373,0,1,0.1886,"[2, 2, 1, 10, 17]"
d6d086e1,0,2,0.21,"[1, 2, 6, 0, 0]"
ba67d858,0,3,0.21580000000000002,"[1, 0, 3, 8, 19]"
f7f5a7d4,0,4,0.19920000000000002,"[0, 2, 3, 10, 17]"
0b3816f8,0,5,0.15100000000000002,"[6, 0, 7, 9, 8]"
da40d7d2,0,6,0.11100000000000002,"[0, 0, 6, 5, 8]"
b3871bc0,0,7,0.1902,"[2, 0, 5, 1, 2]"
01667414,0,8,0.304,"[6, 0, 5, 5, 19]"
92e8b487,0,9,0.1678,"[4, 0, 7, 8, 3]"
ba8c8fbe,0,10,0.41479999999999995,"[6, 0, 8, 4, 20]"
e936647f,0,11,0.0674,"[5, 2, 3, 1, 1]"
ab86f381,0,12,0.1536,"[3, 1, 1, 3, 3]"
1e915dba,0,13,0.34240000000000004,"[6, 1, 7, 10, 11]"
